Yr,CountyName,CropName,Acres,Volume
1988,DALLAM        ,OTHER GRAIN,"1,000","1,000"
1988,DALLAM        ,SORGHUM,"19,500","26,000"
1988,DALLAM        ,SOY OIL,"1,000","1,250"
1988,DALLAM        ,VEGETABLES,"1,000","1,667"
1988,DALLAM        ,WHEAT,"84,300","84,300"
1989,DALLAM        ,ALFALFA,"3,000","5,000"
1989,DALLAM        ,CORN,"63,332","116,109"
1989,DALLAM        ,FORAGE HAY PASTURE,"28,190","41,285"
1989,DALLAM        ,OTHER,110,55
1989,DALLAM        ,OTHER GRAIN,925,771
1989,DALLAM        ,PEANUTS,62,103
1989,DALLAM        ,SORGHUM,"29,235","29,235"
1989,DALLAM        ,SOY OIL,615,923
1989,DALLAM        ,VEGETABLES,"2,126","3,356"
1989,DALLAM        ,WHEAT,"76,920","89,740"
1990,DALLAM        ,ALFALFA,"3,000","7,000"
1990,DALLAM        ,CORN,"66,400","149,400"
1990,DALLAM        ,FORAGE HAY PASTURE,"27,000","19,500"
1990,DALLAM        ,OTHER,100,50
1990,DALLAM        ,OTHER GRAIN,"1,000","1,167"
1990,DALLAM        ,PEANUTS,100,150
1990,DALLAM        ,SORGHUM,"17,700","29,500"
1990,DALLAM        ,SOY OIL,600,800
1990,DALLAM        ,VEGETABLES,"2,000","3,417"
1990,DALLAM        ,WHEAT,"100,000","116,667"
1991,DALLAM        ,ALFALFA,"3,000","3,000"
1991,DALLAM        ,CORN,"78,000","91,000"
1991,DALLAM        ,FORAGE HAY PASTURE,"2,000","2,000"
1991,DALLAM        ,OTHER,"10,000","5,000"
1991,DALLAM        ,OTHER GRAIN,"1,000",583
1991,DALLAM        ,PEANUTS,100,50
1991,DALLAM        ,SORGHUM,"14,200","5,917"
1991,DALLAM        ,SOY OIL,600,250
1991,DALLAM        ,VEGETABLES,"2,000","3,000"
1991,DALLAM        ,WHEAT,"83,000","48,417"
1992,DALLAM        ,ALFALFA,"3,000","4,500"
1992,DALLAM        ,CORN,"76,300","114,450"
1992,DALLAM        ,FORAGE HAY PASTURE,"3,000","1,084"
1992,DALLAM        ,OTHER,"10,000","5,000"
1992,DALLAM        ,OTHER GRAIN,"1,000",417
1992,DALLAM        ,PEANUTS,100,50
1992,DALLAM        ,SORGHUM,"15,600","7,800"
1992,DALLAM        ,SOY OIL,600,300
1992,DALLAM        ,VEGETABLES,"2,000","3,000"
1992,DALLAM        ,WHEAT,"90,800","75,667"
1993,DALLAM        ,ALFALFA,"8,000","13,333"
1993,DALLAM        ,CORN,"94,000","227,167"
1993,DALLAM        ,FORAGE HAY PASTURE,"18,000","27,000"
1993,DALLAM        ,OTHER,45,8
1993,DALLAM        ,OTHER GRAIN,500,417
1993,DALLAM        ,SORGHUM,"13,100","13,100"
1993,DALLAM        ,VEGETABLES,"1,625","2,188"
1993,DALLAM        ,WHEAT,"85,300","99,517"
1994,DALLAM        ,ALFALFA,"8,000","13,333"
1994,DALLAM        ,CORN,"82,100","198,408"
1994,DALLAM        ,FORAGE HAY PASTURE,"18,000","27,000"
1994,DALLAM        ,OTHER,45,8
1994,DALLAM        ,OTHER GRAIN,500,417
1994,DALLAM        ,SORGHUM,500,500
1994,DALLAM        ,VEGETABLES,"1,625","2,188"
1994,DALLAM        ,WHEAT,"103,700","120,983"
1995,DALLAM        ,ALFALFA,"8,000","16,000"
1995,DALLAM        ,CORN,"118,853","277,324"
1995,DALLAM        ,FORAGE HAY PASTURE,"8,000","9,333"
1995,DALLAM        ,OTHER,45,8
1995,DALLAM        ,OTHER GRAIN,541,541
1995,DALLAM        ,SORGHUM,"4,607","4,607"
1995,DALLAM        ,SOY OIL,43,54
1995,DALLAM        ,VEGETABLES,"4,598","7,209"
1995,DALLAM        ,WHEAT,"67,616","78,885"
1996,DALLAM        ,ALFALFA,"8,000","12,000"
1996,DALLAM        ,CORN,"141,036","246,813"
1996,DALLAM        ,FORAGE HAY PASTURE,"8,000","6,667"
1996,DALLAM        ,OTHER,45,11
1996,DALLAM        ,OTHER GRAIN,541,451
1996,DALLAM        ,SORGHUM,"8,800","5,867"
1996,DALLAM        ,SOY OIL,43,54
1996,DALLAM        ,VEGETABLES,"7,049","9,399"
1996,DALLAM        ,WHEAT,"84,400","112,533"
1997,DALLAM        ,ALFALFA,"8,000","13,333"
1997,DALLAM        ,CORN,"157,000","314,000"
1997,DALLAM        ,FORAGE HAY PASTURE,"8,000","6,667"
1997,DALLAM        ,OTHER GRAIN,541,451
1997,DALLAM        ,SORGHUM,"8,000","8,000"
1997,DALLAM        ,SOY OIL,700,875
1997,DALLAM        ,VEGETABLES,"6,047","9,912"
1997,DALLAM        ,WHEAT,"96,300","112,350"
1998,DALLAM        ,ALFALFA,"8,000","14,667"
1998,DALLAM        ,CORN,"148,800","322,400"
1998,DALLAM        ,FORAGE HAY PASTURE,"8,050","6,750"
1998,DALLAM        ,OTHER GRAIN,541,451
1998,DALLAM        ,SORGHUM,"3,400","2,833"
1998,DALLAM        ,SOY OIL,700,"1,050"
1998,DALLAM        ,VEGETABLES,"5,047","10,094"
1998,DALLAM        ,WHEAT,"61,400","51,167"
1999,DALLAM        ,ALFALFA,"8,000","13,333"
1999,DALLAM        ,CORN,"167,100","362,050"
1999,DALLAM        ,FORAGE HAY PASTURE,"8,050","5,408"
1999,DALLAM        ,OTHER GRAIN,541,451
1999,DALLAM        ,SORGHUM,"2,300","1,917"
1999,DALLAM        ,SOY OIL,"1,500","1,542"
1999,DALLAM        ,VEGETABLES,"5,047","8,412"
1999,DALLAM        ,WHEAT,"59,800","49,833"
2000,DALLAM        ,ALFALFA,"2,300","4,217"
2000,DALLAM        ,CORN,"180,761","361,522"
2000,DALLAM        ,FORAGE HAY PASTURE,"8,550","12,396"
2000,DALLAM        ,OTHER GRAIN,63,63
2000,DALLAM        ,SORGHUM,"2,727","2,727"
2000,DALLAM        ,SOY OIL,"1,034","1,147"
2000,DALLAM        ,VEGETABLES,"1,839","3,291"
2000,DALLAM        ,WHEAT,"73,507","73,507"
2001,DALLAM        ,ALFALFA,"2,300","3,833"
2001,DALLAM        ,CORN,"129,714","291,857"
2001,DALLAM        ,FORAGE HAY PASTURE,"8,550","8,836"
2001,DALLAM        ,OTHER GRAIN,63,53
2001,DALLAM        ,SORGHUM,"7,500","7,500"
2001,DALLAM        ,SOY OIL,"1,750","2,313"
2001,DALLAM        ,VEGETABLES,"1,839","2,747"
2001,DALLAM        ,WHEAT,"80,000","93,333"
2002,DALLAM        ,ALFALFA,"1,511","2,015"
2002,DALLAM        ,CORN,"133,838","323,442"
2002,DALLAM        ,FORAGE HAY PASTURE,"6,010","4,591"
2002,DALLAM        ,OTHER,123,195
2002,DALLAM        ,OTHER GRAIN,796,398
2002,DALLAM        ,SORGHUM,"10,456","10,456"
2002,DALLAM        ,SOY OIL,"2,826","3,968"
2002,DALLAM        ,VEGETABLES,"3,233","3,528"
2002,DALLAM        ,WHEAT,"124,134","155,168"
2003,DALLAM        ,ALFALFA,"10,892","18,153"
2003,DALLAM        ,CORN,"123,816","226,996"
2003,DALLAM        ,FORAGE HAY PASTURE,"9,401","9,866"
2003,DALLAM        ,OTHER GRAIN,"1,776","1,480"
2003,DALLAM        ,SORGHUM,"12,035","12,035"
2003,DALLAM        ,SOY OIL,"3,913","3,025"
2003,DALLAM        ,VEGETABLES,"1,854","2,569"
2003,DALLAM        ,WHEAT,"117,315","117,315"
2004,DALLAM        ,ALFALFA,"10,000","16,667"
2004,DALLAM        ,CORN,"127,354","233,482"
2004,DALLAM        ,COTTON,184,184
2004,DALLAM        ,FORAGE HAY PASTURE,"6,973","7,907"
2004,DALLAM        ,OTHER GRAIN,"4,491","3,743"
2004,DALLAM        ,SORGHUM,"6,862","6,862"
2004,DALLAM        ,SOY OIL,"6,401","7,117"
2004,DALLAM        ,VEGETABLES,"1,460","2,050"
2004,DALLAM        ,WHEAT,"124,878","124,878"
2005,DALLAM        ,ALFALFA,"1,158","2,220"
2005,DALLAM        ,CORN,"121,751","233,356"
2005,DALLAM        ,COTTON,193,241
2005,DALLAM        ,FORAGE HAY PASTURE,"5,449","6,822"
2005,DALLAM        ,OTHER GRAIN,"8,374","10,468"
2005,DALLAM        ,PEANUTS,289,434
2005,DALLAM        ,SORGHUM,"6,145","6,145"
2005,DALLAM        ,SOY OIL,"7,792","13,512"
2005,DALLAM        ,VEGETABLES,"1,459","2,443"
2005,DALLAM        ,WHEAT,"104,038","130,048"
2006,DALLAM        ,ALFALFA,"1,512","2,898"
2006,DALLAM        ,CORN,"124,383","217,670"
2006,DALLAM        ,COTTON,"1,388","1,851"
2006,DALLAM        ,FORAGE HAY PASTURE,"8,411","12,413"
2006,DALLAM        ,OTHER GRAIN,"9,260","9,260"
2006,DALLAM        ,PEANUTS,246,369
2006,DALLAM        ,SORGHUM,"9,021","9,021"
2006,DALLAM        ,SOY OIL,"6,499","8,124"
2006,DALLAM        ,VEGETABLES,"1,800","3,225"
2006,DALLAM        ,WHEAT,"81,774","81,774"
2007,DALLAM        ,ALFALFA,"1,341","2,906"
2007,DALLAM        ,CORN,"127,564","233,867"
2007,DALLAM        ,COTTON,"1,568","1,045"
2007,DALLAM        ,FAILED,352,88
2007,DALLAM        ,FORAGE HAY PASTURE,"7,261","10,199"
2007,DALLAM        ,OTHER GRAIN,"5,534","6,918"
2007,DALLAM        ,SORGHUM,"5,047","5,047"
2007,DALLAM        ,SOY OIL,"1,529","1,147"
2007,DALLAM        ,VEGETABLES,325,540
2007,DALLAM        ,WHEAT,"73,769","104,506"
2008,DALLAM        ,ALFALFA,"1,249","2,706"
2008,DALLAM        ,CORN,"125,540","272,003"
2008,DALLAM        ,COTTON,"1,364","1,023"
2008,DALLAM        ,FAILED,208,69
2008,DALLAM        ,FORAGE HAY PASTURE,"5,146","7,719"
2008,DALLAM        ,OTHER,"2,260","2,637"
2008,DALLAM        ,OTHER GRAIN,"2,330","2,718"
2008,DALLAM        ,SORGHUM,"5,538","6,461"
2008,DALLAM        ,SOY OIL,"2,700","3,150"
2008,DALLAM        ,VEGETABLES,125,260
2008,DALLAM        ,WHEAT,"87,501","109,376"
2009,DALLAM        ,ALFALFA,"1,305","2,719"
2009,DALLAM        ,CORN,"128,442","278,291"
2009,DALLAM        ,COTTON,"1,553","1,035"
2009,DALLAM        ,FORAGE HAY PASTURE,"3,558","5,041"
2009,DALLAM        ,OTHER,"3,119","2,079"
2009,DALLAM        ,OTHER GRAIN,"6,995","8,744"
2009,DALLAM        ,SORGHUM,"8,978","11,971"
2009,DALLAM        ,SOY OIL,"1,904","2,380"
2009,DALLAM        ,VEGETABLES,695,"1,390"
2009,DALLAM        ,WHEAT,"85,172","106,465"
2010,DALLAM        ,ALFALFA,"1,246","2,492"
2010,DALLAM        ,CORN,"130,887","239,959"
2010,DALLAM        ,COTTON,"1,591",662
2010,DALLAM        ,FORAGE HAY PASTURE,"5,170","6,031"
2010,DALLAM        ,OTHER,"1,793","3,287"
2010,DALLAM        ,OTHER GRAIN,"3,719","3,719"
2010,DALLAM        ,SORGHUM,"6,534","6,534"
2010,DALLAM        ,SOY OIL,"1,843","1,843"
2010,DALLAM        ,VEGETABLES,"1,122","2,057"
2010,DALLAM        ,WHEAT,"89,774","97,255"
2011,DALLAM        ,ALFALFA,"1,500","3,500"
2011,DALLAM        ,CORN,"126,000","315,000"
2011,DALLAM        ,COTTON,"4,500","4,875"
2011,DALLAM        ,FORAGE HAY PASTURE,"5,500","8,250"
2011,DALLAM        ,OTHER,"1,000","1,667"
2011,DALLAM        ,OTHER GRAIN,"4,200","5,600"
2011,DALLAM        ,SORGHUM,"15,000","21,250"
2011,DALLAM        ,SOY OIL,"2,000","3,000"
2011,DALLAM        ,VEGETABLES,"4,100","9,567"
2011,DALLAM        ,WHEAT,"80,000","120,000"
2012,DALLAM        ,ALFALFA,"1,750","4,083"
2012,DALLAM        ,CORN,"120,000","300,000"
2012,DALLAM        ,COTTON,"5,300","5,300"
2012,DALLAM        ,FORAGE HAY PASTURE,"7,000","10,500"
2012,DALLAM        ,OTHER,500,667
2012,DALLAM        ,OTHER GRAIN,"10,110","13,480"
2012,DALLAM        ,SORGHUM,"12,500","17,708"
2012,DALLAM        ,SOY OIL,"2,000","2,500"
2012,DALLAM        ,VEGETABLES,"6,000","15,000"
2012,DALLAM        ,WHEAT,"80,000","126,667"
2013,DALLAM        ,ALFALFA,"1,990","4,312"
2013,DALLAM        ,CORN,"120,000","240,000"
2013,DALLAM        ,COTTON,"3,250","2,708"
2013,DALLAM        ,FORAGE HAY PASTURE,"7,660","10,852"
2013,DALLAM        ,OTHER GRAIN,"9,420","11,775"
2013,DALLAM        ,SORGHUM,"12,000","15,000"
2013,DALLAM        ,SOY OIL,"2,000","2,333"
2013,DALLAM        ,VEGETABLES,"5,000","11,667"
2013,DALLAM        ,WHEAT,"80,000","93,333"
2014,DALLAM        ,ALFALFA,"4,230","8,460"
2014,DALLAM        ,CORN,"115,840","222,027"
2014,DALLAM        ,COTTON,"5,080","4,233"
2014,DALLAM        ,FORAGE HAY PASTURE,"4,530","5,285"
2014,DALLAM        ,OTHER GRAIN,"7,690","8,972"
2014,DALLAM        ,SORGHUM,"8,100","9,450"
2014,DALLAM        ,SOY OIL,"2,000","2,167"
2014,DALLAM        ,VEGETABLES,"10,140","21,970"
2014,DALLAM        ,WHEAT,"85,000","99,167"
2015,DALLAM        ,ALFALFA,"6,010","9,015"
2015,DALLAM        ,CORN,"112,520","168,780"
2015,DALLAM        ,COTTON,"3,660","2,440"
2015,DALLAM        ,FORAGE HAY PASTURE,"3,740","2,805"
2015,DALLAM        ,OTHER GRAIN,"12,640","9,480"
2015,DALLAM        ,SORGHUM,"13,270","11,058"
2015,DALLAM        ,SOY OIL,"3,330","3,053"
2015,DALLAM        ,VEGETABLES,"8,510","13,474"
2015,DALLAM        ,VINEYARD,10,14
2015,DALLAM        ,WHEAT,"84,690","70,575"
2016,DALLAM        ,ALFALFA,"6,880","11,467"
2016,DALLAM        ,CORN,"115,750","183,271"
2016,DALLAM        ,COTTON,"5,090","5,090"
2016,DALLAM        ,FORAGE HAY PASTURE,"2,050","1,879"
2016,DALLAM        ,OTHER GRAIN,"11,340","11,340"
2016,DALLAM        ,SORGHUM,"8,880","8,140"
2016,DALLAM        ,SOY OIL,"2,180","2,180"
2016,DALLAM        ,VEGETABLES,"10,200","17,850"
2016,DALLAM        ,VINEYARD,20,23
2016,DALLAM        ,WHEAT,"83,620","97,557"
2017,DALLAM        ,ALFALFA,"4,480","4,480"
2017,DALLAM        ,CORN,"93,900","172,150"
2017,DALLAM        ,COTTON,"35,560","17,780"
2017,DALLAM        ,FORAGE HAY PASTURE,"3,940","4,268"
2017,DALLAM        ,OTHER,30,30
2017,DALLAM        ,OTHER GRAIN,"9,220","8,452"
2017,DALLAM        ,PEANUTS,260,303
2017,DALLAM        ,SORGHUM,"5,330","4,886"
2017,DALLAM        ,SOY OIL,"5,360","3,573"
2017,DALLAM        ,VEGETABLES,"1,230","1,845"
2017,DALLAM        ,VINEYARD,40,40
2017,DALLAM        ,WHEAT,"60,000","65,000"
2018,DALLAM        ,ALFALFA,"2,290","4,008"
2018,DALLAM        ,CORN,"104,000","182,000"
2018,DALLAM        ,COTTON,"47,600","39,667"
2018,DALLAM        ,FAILED,"2,320",967
2018,DALLAM        ,FORAGE HAY PASTURE,"11,010","13,763"
2018,DALLAM        ,OTHER GRAIN,"12,330","13,358"
2018,DALLAM        ,SORGHUM,"7,920","11,880"
2018,DALLAM        ,SOY OIL,"2,820","5,170"
2018,DALLAM        ,VEGETABLES,"7,250","10,875"
2018,DALLAM        ,VINEYARD,40,47
2018,DALLAM        ,WHEAT,"49,000","53,083"
2019,DALLAM        ,ALFALFA,"1,700","2,833"
2019,DALLAM        ,CORN,"97,420","154,248"
2019,DALLAM        ,COTTON,"24,510","18,383"
2019,DALLAM        ,FAILED,"12,460","5,192"
2019,DALLAM        ,FORAGE HAY PASTURE,"4,180","4,528"
2019,DALLAM        ,OTHER GRAIN,"12,140","12,140"
2019,DALLAM        ,SORGHUM,"25,770","27,918"
2019,DALLAM        ,SOY OIL,"1,830","1,830"
2019,DALLAM        ,VEGETABLES,"2,250","4,125"
2019,DALLAM        ,VINEYARD,40,47
2019,DALLAM        ,WHEAT,"67,340","72,952"
2020,DALLAM        ,ALFALFA,"1,500","2,375"
2020,DALLAM        ,CORN,"80,300","147,217"
2020,DALLAM        ,COTTON,"43,190","35,992"
2020,DALLAM        ,FAILED,"3,780","1,575"
2020,DALLAM        ,FORAGE HAY PASTURE,"5,370","6,265"
2020,DALLAM        ,OTHER,20,22
2020,DALLAM        ,OTHER GRAIN,"20,110","20,110"
2020,DALLAM        ,SORGHUM,"28,700","33,483"
2020,DALLAM        ,SOY OIL,"4,000","4,333"
2020,DALLAM        ,VEGETABLES,"2,140","3,923"
2020,DALLAM        ,VINEYARD,40,50
2020,DALLAM        ,WHEAT,"75,980","88,643"
2021,DALLAM        ,ALFALFA,680,"1,020"
2021,DALLAM        ,CORN,"80,240","140,420"
2021,DALLAM        ,COTTON,"27,780","37,040"
2021,DALLAM        ,FORAGE HAY PASTURE,"6,850","7,992"
2021,DALLAM        ,OTHER GRAIN,"12,830","12,830"
2021,DALLAM        ,SORGHUM,"42,160","42,160"
2021,DALLAM        ,SOY OIL,"2,060","2,232"
2021,DALLAM        ,VEGETABLES,"1,420","2,367"
2021,DALLAM        ,VINEYARD,40,47
2021,DALLAM        ,WHEAT,"81,560","88,357"
2022,DALLAM        ,ALFALFA,800,"1,200"
2022,DALLAM        ,CORN,"81,820","143,185"
2022,DALLAM        ,COTTON,"23,670","31,560"
2022,DALLAM        ,FAILED,"7,540","3,142"
2022,DALLAM        ,FORAGE HAY PASTURE,"9,610","11,212"
2022,DALLAM        ,GOLF COURSES,0,0
2022,DALLAM        ,ORCHARD,0,0
2022,DALLAM        ,OTHER,0,0
2022,DALLAM        ,OTHER GRAIN,"18,280","18,280"
2022,DALLAM        ,PEANUTS,0,0
2022,DALLAM        ,RICE,0,0
2022,DALLAM        ,SORGHUM,"18,180","18,180"
2022,DALLAM        ,SOY OIL,"2,710","2,936"
2022,DALLAM        ,SUGARCANE,0,0
2022,DALLAM        ,VEGETABLES,"1,640","2,733"
2022,DALLAM        ,VINEYARD,40,47
2022,DALLAM        ,WHEAT,"82,050","88,888"
2023,DALLAM        ,ALFALFA,0,0
2023,DALLAM        ,CORN,"81,290","128,709"
2023,DALLAM        ,COTTON,"19,200","28,800"
2023,DALLAM        ,FAILED,"3,460","1,442"
2023,DALLAM        ,FORAGE HAY PASTURE,"9,300","10,850"
2023,DALLAM        ,GOLF COURSES,0,0
2023,DALLAM        ,ORCHARD,0,0
2023,DALLAM        ,OTHER,0,0
2023,DALLAM        ,OTHER GRAIN,"46,150","53,842"
2023,DALLAM        ,PEANUTS,0,0
2023,DALLAM        ,RICE,0,0
2023,DALLAM        ,SORGHUM,"33,800","39,433"
2023,DALLAM        ,SOY OIL,"1,300","1,408"
2023,DALLAM        ,SUGARCANE,0,0
2023,DALLAM        ,VEGETABLES,"1,190","1,884"
2023,DALLAM        ,VINEYARD,40,47
2023,DALLAM        ,WHEAT,"77,150","96,438"
2024,DALLAM        ,ALFALFA,370,216
2024,DALLAM        ,CORN,"83,840","132,747"
2024,DALLAM        ,COTTON,"26,170","39,255"
2024,DALLAM        ,FAILED,80,40
2024,DALLAM        ,FORAGE HAY PASTURE,"6,990","8,155"
2024,DALLAM        ,GOLF COURSES,0,0
2024,DALLAM        ,ORCHARD,0,0
2024,DALLAM        ,OTHER,0,0
2024,DALLAM        ,OTHER GRAIN,"21,480","25,060"
2024,DALLAM        ,PEANUTS,0,0
2024,DALLAM        ,RICE,0,0
2024,DALLAM        ,SORGHUM,"33,870","39,515"
2024,DALLAM        ,SOY OIL,240,260
2024,DALLAM        ,SUGARCANE,0,0
2024,DALLAM        ,VEGETABLES,"3,360","5,320"
2024,DALLAM        ,VINEYARD,30,35
2024,DALLAM        ,WHEAT,"55,720","69,650"
1985,DALLAS        ,SORGHUM,250,250
1986,DALLAS        ,OTHER,250,250
1987,DALLAS        ,OTHER,250,250
1988,DALLAS        ,OTHER,250,125
1989,DALLAS        ,ORCHARD,40,60
1989,DALLAS        ,OTHER,20,25
1989,DALLAS        ,VEGETABLES,20,30
1990,DALLAS        ,ORCHARD,40,50
1990,DALLAS        ,OTHER,20,20
1990,DALLAS        ,VEGETABLES,20,30
1991,DALLAS        ,ORCHARD,40,40
1991,DALLAS        ,OTHER,20,20
1991,DALLAS        ,VEGETABLES,20,20
1992,DALLAS        ,ORCHARD,40,40
1992,DALLAS        ,OTHER,20,20
1992,DALLAS        ,VEGETABLES,20,20
1993,DALLAS        ,ORCHARD,20,27
1993,DALLAS        ,OTHER,610,"1,220"
1993,DALLAS        ,VEGETABLES,40,70
1994,DALLAS        ,ORCHARD,20,20
1994,DALLAS        ,OTHER,610,"1,118"
1994,DALLAS        ,VEGETABLES,40,60
1995,DALLAS        ,ORCHARD,20,20
1995,DALLAS        ,OTHER,610,"1,118"
1995,DALLAS        ,VEGETABLES,40,60
1996,DALLAS        ,ORCHARD,20,27
1996,DALLAS        ,OTHER,610,"1,220"
1996,DALLAS        ,VEGETABLES,40,70
1997,DALLAS        ,ORCHARD,20,27
1997,DALLAS        ,OTHER,610,"1,220"
1997,DALLAS        ,VEGETABLES,40,70
1998,DALLAS        ,ORCHARD,20,27
1998,DALLAS        ,OTHER,610,"1,220"
1998,DALLAS        ,VEGETABLES,40,70
1999,DALLAS        ,ORCHARD,20,27
1999,DALLAS        ,OTHER,610,"1,220"
1999,DALLAS        ,VEGETABLES,40,70
2000,DALLAS        ,ORCHARD,20,20
2000,DALLAS        ,OTHER,"6,200","13,067"
2001,DALLAS        ,ORCHARD,20,23
2001,DALLAS        ,OTHER,"6,200","10,850"
2002,DALLAS        ,ORCHARD,20,23
2002,DALLAS        ,OTHER,"6,200","10,850"
2003,DALLAS        ,GOLF COURSES,"7,800","13,650"
2003,DALLAS        ,OTHER,186,326
2004,DALLAS        ,GOLF COURSES,"5,000","7,500"
2005,DALLAS        ,GOLF COURSES,"5,000","10,000"
2005,DALLAS        ,OTHER,100,150
2006,DALLAS        ,GOLF COURSES,"5,000","11,000"
2006,DALLAS        ,OTHER,108,225
2007,DALLAS        ,GOLF COURSES,"5,000","8,333"
2007,DALLAS        ,OTHER,75,94
2008,DALLAS        ,GOLF COURSES,"5,000","9,167"
2009,DALLAS        ,FORAGE HAY PASTURE,500,500
2009,DALLAS        ,GOLF COURSES,"3,000","6,000"
2009,DALLAS        ,WHEAT,200,200
2010,DALLAS        ,FORAGE HAY PASTURE,400,400
2010,DALLAS        ,GOLF COURSES,"3,500","8,458"
2010,DALLAS        ,OTHER,50,95
2010,DALLAS        ,WHEAT,40,40
2011,DALLAS        ,FORAGE HAY PASTURE,150,213
2011,DALLAS        ,GOLF COURSES,"4,300","11,467"
2011,DALLAS        ,OTHER,40,100
2011,DALLAS        ,WHEAT,40,57
2012,DALLAS        ,FORAGE HAY PASTURE,200,250
2012,DALLAS        ,GOLF COURSES,"4,000","10,667"
2012,DALLAS        ,OTHER,50,104
2012,DALLAS        ,WHEAT,50,63
2013,DALLAS        ,FORAGE HAY PASTURE,200,233
2013,DALLAS        ,GOLF COURSES,"4,000","9,667"
2013,DALLAS        ,OTHER,50,113
2013,DALLAS        ,WHEAT,40,47
2014,DALLAS        ,FORAGE HAY PASTURE,200,217
2014,DALLAS        ,GOLF COURSES,"4,000","10,000"
2014,DALLAS        ,OTHER,50,108
2014,DALLAS        ,WHEAT,40,43
2015,DALLAS        ,FORAGE HAY PASTURE,160,107
2015,DALLAS        ,GOLF COURSES,"4,000","7,000"
2015,DALLAS        ,OTHER,100,125
2015,DALLAS        ,WHEAT,40,27
2016,DALLAS        ,FORAGE HAY PASTURE,180,135
2016,DALLAS        ,GOLF COURSES,"4,000","6,667"
2016,DALLAS        ,OTHER,80,107
2016,DALLAS        ,WHEAT,40,30
2017,DALLAS        ,FORAGE HAY PASTURE,160,147
2017,DALLAS        ,GOLF COURSES,"4,000","7,667"
2017,DALLAS        ,OTHER,90,135
2017,DALLAS        ,WHEAT,40,37
2018,DALLAS        ,FORAGE HAY PASTURE,170,156
2018,DALLAS        ,GOLF COURSES,"4,000","7,667"
2018,DALLAS        ,OTHER,90,150
2018,DALLAS        ,WHEAT,40,37
2019,DALLAS        ,FORAGE HAY PASTURE,170,128
2019,DALLAS        ,GOLF COURSES,"4,000","6,667"
2019,DALLAS        ,OTHER,90,120
2019,DALLAS        ,WHEAT,40,30
2020,DALLAS        ,FORAGE HAY PASTURE,170,142
2020,DALLAS        ,GOLF COURSES,"4,000","6,333"
2020,DALLAS        ,OTHER,90,128
2020,DALLAS        ,WHEAT,40,33
2021,DALLAS        ,FORAGE HAY PASTURE,170,142
2021,DALLAS        ,GOLF COURSES,"4,000","9,333"
2021,DALLAS        ,OTHER,90,128
2021,DALLAS        ,WHEAT,40,33
2022,DALLAS        ,ALFALFA,0,0
2022,DALLAS        ,CORN,0,0
2022,DALLAS        ,COTTON,0,0
2022,DALLAS        ,FAILED,0,0
2022,DALLAS        ,FORAGE HAY PASTURE,170,156
2022,DALLAS        ,GOLF COURSES,"4,000","8,667"
2022,DALLAS        ,ORCHARD,0,0
2022,DALLAS        ,OTHER,750,"1,500"
2022,DALLAS        ,OTHER GRAIN,0,0
2022,DALLAS        ,PEANUTS,0,0
2022,DALLAS        ,RICE,0,0
2022,DALLAS        ,SORGHUM,0,0
2022,DALLAS        ,SOY OIL,0,0
2022,DALLAS        ,SUGARCANE,0,0
2022,DALLAS        ,VEGETABLES,0,0
2022,DALLAS        ,VINEYARD,0,0
2022,DALLAS        ,WHEAT,40,37
2023,DALLAS        ,ALFALFA,0,0
2023,DALLAS        ,CORN,0,0
2023,DALLAS        ,COTTON,0,0
2023,DALLAS        ,FAILED,0,0
2023,DALLAS        ,FORAGE HAY PASTURE,170,156
2023,DALLAS        ,GOLF COURSES,"4,000","10,667"
2023,DALLAS        ,ORCHARD,0,0
2023,DALLAS        ,OTHER,90,150
2023,DALLAS        ,OTHER GRAIN,0,0
2023,DALLAS        ,PEANUTS,0,0
2023,DALLAS        ,RICE,0,0
2023,DALLAS        ,SORGHUM,0,0
2023,DALLAS        ,SOY OIL,0,0
2023,DALLAS        ,SUGARCANE,0,0
2023,DALLAS        ,VEGETABLES,0,0
2023,DALLAS        ,VINEYARD,0,0
2023,DALLAS        ,WHEAT,40,37
2024,DALLAS        ,ALFALFA,0,0
2024,DALLAS        ,CORN,0,0
2024,DALLAS        ,COTTON,0,0
2024,DALLAS        ,FAILED,0,0
2024,DALLAS        ,FORAGE HAY PASTURE,150,138
2024,DALLAS        ,GOLF COURSES,"4,000","10,667"
2024,DALLAS        ,ORCHARD,0,0
2024,DALLAS        ,OTHER,10,23
2024,DALLAS        ,OTHER GRAIN,0,0
2024,DALLAS        ,PEANUTS,0,0
2024,DALLAS        ,RICE,0,0
2024,DALLAS        ,SORGHUM,0,0
2024,DALLAS        ,SOY OIL,0,0
2024,DALLAS        ,SUGARCANE,0,0
2024,DALLAS        ,VEGETABLES,10,17
2024,DALLAS        ,VINEYARD,0,0
2024,DALLAS        ,WHEAT,0,0
1985,DAWSON        ,ALFALFA,350,467
1985,DAWSON        ,COTTON,"20,000","20,000"
1985,DAWSON        ,ORCHARD,350,350
1985,DAWSON        ,OTHER,"7,000","5,250"
1985,DAWSON        ,SORGHUM,"4,000","2,000"
1985,DAWSON        ,WHEAT,"2,300","1,150"
1986,DAWSON        ,COTTON,"13,000","6,500"
1986,DAWSON        ,OTHER,"10,900","5,450"
1986,DAWSON        ,SORGHUM,"3,100",775
